"","day","treatment","batch","trial_num","insem_start","trial_end","insem_dur","encounter","running_away_dur","refusal_posture","insem_resist","mounts","trial_dur","prop_run","prop_insem_resist","insem_lat"
"83","6","virgin",1,89,147.16,205.664,58.504,14.661,0,0,0.508,2,191.003,0,0.00868316696294271,132.499
"84","4","virgin",2,90,153.664,207.67,54.006,45.434,0.248,0,3.251,2,162.236,0.00229141642797746,0.0601970151464652,108.23
"85","6","virgin",1,91,74.415,148.413,73.998,26.921,0.748,0,30.772,1,121.492,0.0157493578136186,0.415849077002081,47.494
"86","4","focal",2,92,48.676,72.909,24.233,9.41,4.76,0,4.472,1,63.499,0.121224469006265,0.184541740601659,39.266
"87","4","virgin",1,93,62.933,115.18,52.247,17.663,0,0,9.75,2,97.517,0,0.186613585469022,45.27
"88","1","focal",1,94,180.927,239.183,58.256,16.918,15.475,13.508,0.997,1,222.265,0.176715911931662,0.017114117000824,164.009
"89","6","virgin",2,95,55.182,131.686,76.504,15.415,1.004,0,4.242,1,116.271,0.025247064148666,0.0554480811460839,39.767
"90","4","virgin",2,96,21.409,102.675,81.266,0.154,0,0,2.006,1,102.521,0,0.0246843698471686,21.255
"91","2","virgin",1,97,67.933,105.186,37.253,59.917,0,0,33.244,1,45.269,0,0.89238450594583,8.01600000000001
"92","2","virgin",2,98,243.679,332.156,88.477,23.664,0,0,12.748,1,308.492,0,0.144082642946755,220.015
"93","6","virgin",1,99,191.682,255.188,63.506,53.684,0,0,1.504,1,201.504,0,0.0236828016250433,137.998
"94","4","focal",1,100,58.687,100.689,42.002,53.409,0,0,0,1,47.28,0,0,5.278
"95","5","focal",2,101,336.914,383.664,46.75,22.165,2.002,21.751,16.257,1,361.499,0.0754664828164665,0.347743315508021,314.749
"96","3","virgin",2,104,107.933,148.68,40.747,104.677,0,0,5.242,1,44.003,0,0.128647507791985,3.256
"97","1","virgin",1,105,99.42,164.189,64.769,7.155,0,0,38.52,1,157.034,0,0.5947289598419,92.265
"98","1","focal",2,106,484.164,547.415,63.251,44.175,5.502,0,0,5,503.24,0.0125048580759974,0,439.989
"99","5","virgin",2,107,173.674,256.433,82.759,55.681,0,0,15.251,2,200.752,0,0.184282072040503,117.993
"100","2","focal",1,108,285.414,344.17,58.756,38.926,0,0,0,1,305.244,0,0,246.488
"101","2","focal",1,109,135.687,172.193,36.506,105.694,0,0,0,1,66.499,0,0,29.993
"102","1","focal",2,110,51.176,96.927,45.751,17.912,0,0,37.248,1,79.015,0,0.81414613888221,33.264
"103","6","focal",1,111,252.43,286.939,34.509,20.169,11.266,0,12.001,3,266.77,0.0485057758297777,0.347764351328639,232.261
"104","6","focal",1,112,671.66,700.662,29.002,34.922,6.246,0,1.249,4,665.74,0.00980937214364464,0.0430659954485898,636.738
"105","4","virgin",1,113,99.166,247.669,148.503,33.926,0,0,3.756,1,213.743,0,0.0252924183349831,65.24
"106","6","focal",1,115,123.432,166.693,43.261,116.68,0,0,12.009,1,50.013,0,0.277594137907122,6.752
"107","1","virgin",1,116,NA,NA,NA,29.667,1.001,0,0,11,1200,NA,NA,NA
"108","4","focal",1,117,99.418,141.171,41.753,28.671,3.006,12.253,0.758,1,112.5,0.215684057274513,0.0181543841161114,70.747
"109","4","virgin",2,118,71.69,131.155,59.465,20.166,0,0,0,1,110.989,0,0,51.524
"110","3","virgin",2,119,913.932,967.426,53.494,18.912,0.998,0,13.756,6,948.514,0.00111505888136578,0.257150334616966,895.02
"111","5","focal",2,120,32.42,50.424,18.004,29.92,0,0,0,1,20.504,0,0,2.5
"112","5","virgin",2,121,69.441,159.19,89.749,57.932,0,0,1.251,1,101.258,0,0.0139388739707406,11.509
