date,arena,treatment,trial_start,mating_start,mating_end,pursuit_start,mating_duration,pursuit_duration,harassment_start,notes,
05-15-2022,5,high,10:10:03 AM,10:11:03 AM,10:12:56 AM,#VALUE!,113,#VALUE!,NA,,
05-15-2022,6,high,10:10:12 AM,10:11:49 AM,10:13:26 AM,#VALUE!,97,#VALUE!,NA,,
05-15-2022,7,high,10:10:30 AM,10:11:10 AM,10:13:28 AM,#VALUE!,138,#VALUE!,NA,,
05-15-2022,8,high,10:10:53 AM,10:18:21 AM,10:20:02 AM,#VALUE!,101,#VALUE!,NA,,
05-15-2022,9,high,10:11:01 AM,10:26:27 AM,10:27:27 AM,#VALUE!,60,#VALUE!,NA,,
05-15-2022,10,high,10:11:31 AM,10:18:17 AM,10:20:03 AM,#VALUE!,106,#VALUE!,NA,,
05-15-2022,11,high,10:15:00 AM,10:29:08 AM,10:30:30 AM,#VALUE!,82,#VALUE!,NA,,
05-15-2022,12,high,10:15:08 AM,10:17:40 AM,10:19:45 AM,#VALUE!,125,#VALUE!,NA,,
05-15-2022,13,high,10:16:25 AM,10:17:30 AM,10:18:55 AM,#VALUE!,85,#VALUE!,NA,,
05-15-2022,14,high,10:16:26 AM,10:18:40 AM,10:19:51 AM,#VALUE!,71,#VALUE!,NA,,
05-15-2022,15,high,10:16:33 AM,10:18:07 AM,10:27:54 AM,#VALUE!,587,#VALUE!,NA,finish time off,
05-15-2022,16,high,10:21:51 AM,10:22:31 AM,10:23:56 AM,#VALUE!,85,#VALUE!,NA,,
05-15-2022,17,high,10:21:52 AM,10:28:08 AM,10:29:37 AM,#VALUE!,89,#VALUE!,NA,,
05-15-2022,18,high,10:22:05 AM,10:23:11 AM,10:24:48 AM,#VALUE!,97,#VALUE!,NA,,
05-15-2022,19,high,10:23:01 AM,10:25:31 AM,10:27:46 AM,#VALUE!,135,#VALUE!,NA,,
05-15-2022,20,high,10:23:01 AM,10:31:52 AM,10:33:15 AM,#VALUE!,83,#VALUE!,NA,,
05-15-2022,1,low,10:40:45 AM,NA,NA,702,#VALUE!,#VALUE!,10:52:27 AM,,
05-15-2022,2,low,10:41:00 AM,NA,NA,40,#VALUE!,#VALUE!,10:41:40 AM,,
05-15-2022,3,low,10:41:29 AM,NA,NA,274,#VALUE!,#VALUE!,10:46:03 AM,,
05-15-2022,4,low,10:42:13 AM,NA,NA,139,#VALUE!,#VALUE!,10:44:32 AM,,
05-15-2022,5,low,10:42:14 AM,NA,NA,23,#VALUE!,#VALUE!,10:42:37 AM,,
05-15-2022,6,low,10:42:35 AM,NA,NA,70,#VALUE!,#VALUE!,10:43:45 AM,,
05-15-2022,7,low,10:44:38 AM,NA,NA,21,#VALUE!,#VALUE!,10:44:59 AM,,
05-15-2022,8,low,10:46:14 AM,NA,NA,29,#VALUE!,#VALUE!,10:46:43 AM,,
05-15-2022,9,low,10:46:27 AM,NA,NA,38,#VALUE!,#VALUE!,10:47:05 AM,,
05-15-2022,10,low,10:47:20 AM,NA,NA,78,#VALUE!,#VALUE!,10:48:38 AM,,
05-15-2022,11,low,10:51:41 AM,NA,NA,178,#VALUE!,#VALUE!,10:54:39 AM,,
05-15-2022,12,low,10:51:55 AM,NA,NA,35,#VALUE!,#VALUE!,10:52:30 AM,,
05-15-2022,13,low,10:52:08 AM,NA,NA,41,#VALUE!,#VALUE!,10:52:49 AM,,
05-15-2022,14,low,10:52:52 AM,NA,NA,182,#VALUE!,#VALUE!,10:55:54 AM,,
05-15-2022,15,low,10:53:03 AM,NA,NA,398,#VALUE!,#VALUE!,10:59:41 AM,,
05-15-2022,16,low,10:56:51 AM,NA,NA,121,#VALUE!,#VALUE!,10:58:52 AM,,
05-15-2022,17,low,10:56:52 AM,NA,NA,36,#VALUE!,#VALUE!,10:57:28 AM,,
05-15-2022,18,low,10:57:04 AM,NA,NA,60,#VALUE!,#VALUE!,10:58:04 AM,,
05-15-2022,19,low,10:57:11 AM,NA,NA,6,#VALUE!,#VALUE!,10:57:17 AM,,
05-15-2022,20,low,10:57:50 AM,NA,NA,68,#VALUE!,#VALUE!,10:58:58 AM,,
05-16-2022,1,high,10:40:10 AM,10:47:07 AM,10:48:21 AM,#VALUE!,74,#VALUE!,NA,,
05-16-2022,2,high,10:40:23 AM,10:41:08 AM,10:42:46 AM,#VALUE!,98,#VALUE!,NA,,
05-16-2022,3,high,10:40:42 AM,10:41:38 AM,10:42:27 AM,#VALUE!,49,#VALUE!,NA,,
05-16-2022,4,high,10:41:05 AM,10:42:51 AM,10:44:19 AM,#VALUE!,88,#VALUE!,NA,,
05-16-2022,5,high,10:41:26 AM,10:43:46 AM,10:45:03 AM,#VALUE!,77,#VALUE!,NA,,
05-16-2022,6,high,10:44:02 AM,10:44:49 AM,10:46:00 AM,#VALUE!,71,#VALUE!,NA,,
05-16-2022,7,high,10:44:28 AM,11:03:09 AM,11:04:28 AM,#VALUE!,79,#VALUE!,NA,2nd male,
05-16-2022,8,high,10:45:47 AM,11:06:45 AM,11:07:25 AM,#VALUE!,40,#VALUE!,NA,2nd male,
05-16-2022,9,high,10:46:12 AM,10:46:41 AM,10:48:37 AM,#VALUE!,116,#VALUE!,NA,,
05-16-2022,10,high,10:47:00 AM,10:48:07 AM,10:49:28 AM,#VALUE!,81,#VALUE!,NA,,
05-16-2022,11,high,10:47:48 AM,10:50:47 AM,10:52:33 AM,#VALUE!,106,#VALUE!,NA,,
05-16-2022,12,high,10:47:53 AM,11:07:01 AM,11:08:28 AM,#VALUE!,87,#VALUE!,NA,,
05-16-2022,13,high,10:49:34 AM,10:51:14 AM,10:52:15 AM,#VALUE!,61,#VALUE!,NA,,
05-16-2022,14,high,10:49:40 AM,10:50:34 AM,10:54:08 AM,#VALUE!,214,#VALUE!,NA,,
05-16-2022,15,high,10:52:44 AM,10:57:40 AM,10:59:16 AM,#VALUE!,96,#VALUE!,NA,,
05-16-2022,16,high,10:52:47 AM,10:56:06 AM,10:57:46 AM,#VALUE!,100,#VALUE!,NA,,
05-16-2022,17,high,10:57:18 AM,10:59:14 AM,11:01:07 AM,#VALUE!,113,#VALUE!,NA,,
05-16-2022,18,high,10:57:32 AM,11:11:50 AM,11:13:19 AM,#VALUE!,89,#VALUE!,NA,2nd male,
05-16-2022,19,high,11:00:09 AM,11:00:13 AM,11:01:23 AM,#VALUE!,70,#VALUE!,NA,,
05-16-2022,20,high,11:00:11 AM,11:02:29 AM,11:04:00 AM,#VALUE!,91,#VALUE!,NA,,
05-16-2022,1,low,10:13:08 AM,NA,NA,685,#VALUE!,#VALUE!,10:24:33 AM,added new male; old one lousy,
05-16-2022,2,low,10:13:42 AM,NA,NA,127,#VALUE!,#VALUE!,10:15:49 AM,,
05-16-2022,3,low,10:13:49 AM,NA,NA,37,#VALUE!,#VALUE!,10:14:26 AM,,
05-16-2022,4,low,10:14:03 AM,NA,NA,132,#VALUE!,#VALUE!,10:16:15 AM,,
05-16-2022,5,low,10:14:22 AM,NA,NA,84,#VALUE!,#VALUE!,10:15:46 AM,,
05-16-2022,6,low,10:14:40 AM,NA,NA,88,#VALUE!,#VALUE!,10:16:08 AM,,
05-16-2022,7,low,10:21:01 AM,NA,NA,46,#VALUE!,#VALUE!,10:21:47 AM,,
05-16-2022,8,low,10:21:11 AM,NA,NA,92,#VALUE!,#VALUE!,10:22:43 AM,,
05-16-2022,9,low,10:21:25 AM,NA,NA,485,#VALUE!,#VALUE!,10:29:30 AM,,
05-16-2022,10,low,10:21:39 AM,NA,NA,147,#VALUE!,#VALUE!,10:24:06 AM,,
05-16-2022,11,low,10:23:53 AM,NA,NA,327,#VALUE!,#VALUE!,10:29:20 AM,,
05-16-2022,12,low,10:25:05 AM,NA,NA,26,#VALUE!,#VALUE!,10:25:31 AM,,
05-16-2022,13,low,10:26:06 AM,NA,NA,37,#VALUE!,#VALUE!,10:26:43 AM,,
05-16-2022,14,low,10:26:45 AM,NA,NA,13,#VALUE!,#VALUE!,10:26:58 AM,,
05-16-2022,15,low,10:27:47 AM,NA,NA,45,#VALUE!,#VALUE!,10:28:32 AM,,
05-16-2022,16,low,10:28:52 AM,NA,NA,45,#VALUE!,#VALUE!,10:29:37 AM,,
05-16-2022,17,low,10:30:33 AM,NA,NA,74,#VALUE!,#VALUE!,10:31:47 AM,,
05-16-2022,18,low,10:30:44 AM,NA,NA,28,#VALUE!,#VALUE!,10:31:12 AM,,
05-16-2022,19,low,10:30:59 AM,NA,NA,172,#VALUE!,#VALUE!,10:33:51 AM,,
05-16-2022,20,low,10:31:15 AM,NA,NA,70,#VALUE!,#VALUE!,10:32:25 AM,,
05-17-2022,1,high,10:11:25 AM,10:11:42 AM,10:12:00 AM,#VALUE!,18,#VALUE!,NA,,
05-17-2022,2,high,10:11:39 AM,10:13:00 AM,10:13:00 AM,#VALUE!,0,#VALUE!,NA,,
05-17-2022,3,high,10:11:55 AM,10:24:00 AM,10:25:03 AM,#VALUE!,63,#VALUE!,NA,,
05-17-2022,4,high,10:12:00 AM,10:16:00 AM,10:17:00 AM,#VALUE!,60,#VALUE!,NA,,
05-17-2022,5,high,10:13:37 AM,11:02:43 AM,11:03:47 AM,#VALUE!,64,#VALUE!,NA,2nd male ,
