replicate,day,arena,focal_sex,treatment,ID,trial_start,mating_start,mating_end,mating_latency,mating_duration,seconds,notes,,"DATE, TIME, and TEMP"
3,1,6,F,NA,,9:01:00 AM,9:12:57 AM,9:13:58 AM,,0:01:01,61,,,
3,1,7,F,NA,,9:01:13 AM,9:10:04 AM,9:15:30 AM,,0:05:26,326,,,
3,1,8,F,NA,,9:01:22 AM,9:26:21 AM,9:28:17 AM,,0:01:56,116,,,
3,1,9,F,NA,,9:02:02 AM,9:02:16 AM,9:04:31 AM,,0:02:15,135,,,
3,1,10,F,NA,,9:02:03 AM,,,,NA,#VALUE!,,,
3,1,11,F,NA,,9:02:04 AM,9:03:47 AM,9:04:23 AM,,0:00:36,36,,,
3,1,12,F,NA,,9:05:11 AM,9:24:52 AM,9:25:55 AM,,0:01:03,63,,,
3,1,13,F,NA,,9:05:22 AM,,,,NA,#VALUE!,,,
3,1,14,F,NA,,9:05:29 AM,9:12:51 AM,9:14:39 AM,,0:01:48,108,,,
3,1,15,F,NA,,9:05:36 AM,9:08:03 AM,9:09:47 AM,,0:01:44,104,,,
3,1,16,F,NA,,9:13:41 AM,9:14:57 AM,9:16:00 AM,,0:01:03,63,,,
3,1,17,F,NA,,9:13:45 AM,9:15:05 AM,9:17:48 AM,,0:02:43,163,,,
3,1,18,F,NA,,9:14:03 AM,9:14:58 AM,9:16:48 AM,,0:01:50,110,,,
3,1,19,F,NA,,9:14:05 AM,9:16:46 AM,9:23:16 AM,,0:06:30,390,,,
3,1,20,F,NA,,9:14:17 AM,9:23:54 AM,9:23:54 AM,,0:00:00,0,wrong start time,,
3,1,21,F,NA,,9:15:46 AM,9:24:01 AM,9:25:02 AM,,0:01:01,61,,,
3,1,22,F,NA,,9:15:50 AM,9:20:43 AM,9:23:51 AM,,0:03:08,188,,,
3,1,23,F,NA,,9:16:13 AM,9:20:28 AM,9:22:50 AM,,0:02:22,142,,,
3,1,24,F,NA,,9:16:14 AM,9:17:13 AM,9:19:00 AM,,0:01:47,107,,,
3,1,25,F,NA,,9:16:57 AM,9:18:16 AM,9:19:33 AM,,0:01:17,77,,,
3,1,26,F,NA,,9:16:58 AM,9:21:52 AM,9:23:29 AM,,0:01:37,97,,,
3,3,1,M,NA,0.1,8:43:00 AM,,,,NA,#VALUE!,,,
3,3,2,M,NA,0.2,8:43:17 AM,8:48:03 AM,8:50:30 AM,,0:02:27,147,,,
3,3,3,M,NA,0.4,8:43:37 AM,9:04:13 AM,9:05:28 AM,,0:01:15,75,,,
3,3,4,M,NA,0.5,8:43:46 AM,8:44:47 AM,8:45:05 AM,,0:00:18,18,,,
3,3,5,M,NA,0.6,8:44:06 AM,,,,NA,#VALUE!,,,
3,3,6,M,NA,0.7,8:44:17 AM,,,,NA,#VALUE!,,,
