day,treatment,batch,trial_num,arena,insem_start,insem_end,insem_dur,encounter,running_away_dur,refusal_posture,insem_resist,mounts,trial_dur,prop_run,prop_insem_resist,insem_lat,con_insem_dur,con_prop_run,con_prop_insem_resist,con_insem_lat,con_prop_run_2,con_insem_dur_2,con_insem_lat_2
1,focal,2,110,10,51.176,96.927,45.751,17.912,0,0,37.248,1,79.015,0,0.814146139,33.264,-28.998,0,0.500137139,-36.231,0.02,31.002,93.769
6,focal,1,111,4,252.43,286.939,34.509,20.169,11.266,0,12.001,3,266.77,0.048505776,0.347764351,232.261,-40.742,0.033425776,0.304544351,97.388,0.053425776,19.258,227.388
6,focal,1,112,5,671.66,700.662,29.002,34.922,6.246,0,1.249,4,665.74,0.009809372,0.043065995,636.738,-46.249,-0.005270628,-0.000154005,501.865,0.014729372,13.751,631.865
6,focal,1,115,1,123.432,166.693,43.261,116.68,0,0,12.009,1,50.013,0,0.277594138,6.752,-31.99,-0.01508,0.234374138,-128.121,0.00492,28.01,1.879
4,focal,1,117,3,99.418,141.171,41.753,28.671,3.006,12.253,0.758,1,112.5,0.215684057,0.018154384,70.747,-15.993,0.135635556,-0.041327616,29.7295,0.155635556,44.007,159.7295
5,focal,2,120,12,32.42,50.424,18.004,29.92,0,0,0,1,20.504,0,0,2.5,-39.493,0,-0.112603,-48.0055,0.02,20.507,81.9945
1,focal,1,123,5,89.169,152.917,63.748,11.658,0.998,0,17.999,2,141.259,0.012875592,0.282346113,77.511,-11.001,0.007065037,-0.031662887,8.016,0.027065037,48.999,138.016
3,focal,2,124,10,75.658,101.672,26.014,51.431,0,0,0,1,50.241,0,0,24.227,-21.738,0,-0.105691,-11.75,0.02,38.262,118.25
2,focal,2,127,10,108.171,154.934,46.763,25.668,16.019,0,18.759,2,129.266,0.194162637,0.401150482,82.503,-22.954,0.123922764,-0.045485518,53.155,0.143922764,37.046,183.155
5,focal,1,128,6,39.672,71.174,31.502,29.92,0.253,0,3.998,3,41.254,0.025943396,0.126912577,9.752,-25.995,0.006132739,0.014309577,-40.7535,0.026132739,34.005,89.2465
4,focal,1,132,7,148.408,195.165,46.757,19.414,4.501,0,1.996,2,175.751,0.034893096,0.042688795,128.994,-10.989,0.025610096,-0.016793205,87.9765,0.045610096,49.011,217.9765
3,focal,2,133,9,62.185,90.692,28.507,17.918,0.999,0,0,2,72.774,0.022567601,0,44.267,-27.48,0.01372743,-0.105691,3.226,0.03372743,32.52,133.226
6,focal,1,135,6,162.919,221.172,58.253,40.433,2.002,21.507,48.999,1,180.739,0.191932139,0.841141229,122.486,-16.998,0.176852139,0.797921229,-12.387,0.196852139,43.002,117.613
3,focal,2,136,11,104.931,127.435,22.504,28.92,6.254,0,0,1,98.515,0.082277565,0,76.011,-24.987,0.063482718,-0.105691,23.266,0.083482718,35.013,153.266
5,focal,2,137,10,126.432,169.938,43.506,27.917,6.768,0,0.508,2,142.021,0.068700198,0.01167655,98.515,-13.991,0.047654924,-0.10092645,48.0095,0.067654924,46.009,178.0095
2,focal,2,138,8,170.421,204.679,34.258,16.661,0,0,3.254,1,188.018,0,0.094985113,153.76,-35.459,0,-0.351650887,124.412,0.02,24.541,254.412
2,focal,1,141,1,213.408,262.674,49.266,41.175,0,0,11.26,2,221.499,0,0.22855519,172.233,-20.451,0,-0.21808081,142.885,0.02,39.549,272.885
4,focal,1,142,1,346.661,373.161,26.5,16.915,16.257,0,0,14,356.246,0.049301584,0,329.746,-31.246,0.045634197,-0.059482,288.7285,0.065634197,28.754,418.7285
6,focal,1,144,7,NA,NA,NA,32.414,65.536,0,0,12,1200,0.054613333,NA,NA,NA,0.039533333,NA,NA,0.059533333,NA,NA
2,focal,2,146,9,220.916,298.676,77.76,13.419,0,0,0,1,285.257,0,0,207.497,8.043,0,-0.446636,178.149,0.02,68.043,308.149
3,focal,2,147,12,208.405,259.686,51.281,30.424,0.498,0,0,3,229.262,0.002798051,0,177.981,-30.99,0.002172187,-0.105691,55.01,0.022172187,29.01,185.01
4,focal,1,148,5,128.437,194.935,66.498,32.423,8.01,0,1.253,7,162.512,0.083425334,0.018842672,96.014,8.752,0.049288668,-0.040639328,54.9965,0.069288668,68.752,184.9965
2,focal,1,149,5,177.175,234.422,57.247,143.411,1.5,0,0,2,91.011,0.044426016,0,33.764,-12.47,0.016481524,-0.446636,4.416,0.036481524,47.53,134.416
3,focal,1,150,3,46.175,62.933,16.758,28.922,0,0,0,1,34.011,0,0,17.253,-2.213,0,-0.105691,156.98,0.02,57.787,286.98
5,focal,1,152,3,77.936,103.192,25.256,49.421,0,0,0,1,53.771,0,0,28.515,-32.241,0,-0.112603,-21.9905,0.02,27.759,108.0095
3,focal,2,153,13,43.174,83.427,40.253,13.66,2.751,0,17.754,2,69.767,0.093210002,0.441060294,29.514,-36.736,0.03943125,0.335369294,-3.748,0.05943125,23.264,126.252
2,focal,2,155,13,130.438,181.431,50.993,15.913,1.249,0,11.003,1,165.518,0.010905916,0.215774714,114.525,-18.724,0.007546007,-0.230861286,85.177,0.027546007,41.276,215.177
2,focal,2,157,11,106.424,193.924,87.5,24.666,0,0,0,3,169.258,0,0,81.758,17.783,0,-0.446636,52.41,0.02,77.783,182.41
4,focal,1,158,4,192.937,227.669,34.732,12.661,7.503,0,0,3,215.008,0.041619517,0,180.276,-23.014,0.034896376,-0.059482,139.2585,0.054896376,36.986,269.2585
1,focal,2,159,12,57.937,115.93,57.993,10.161,0,0,2.248,1,105.769,0,0.038763299,47.776,-16.756,0,-0.275245701,-21.719,0.02,43.244,108.281
1,focal,1,160,3,264.62,323.13,58.51,27.386,0,0,0,3,295.744,0,0,237.234,-16.239,0,-0.314009,167.739,0.02,43.761,297.739
1,focal,1,161,2,317.633,390.388,72.755,35.855,0,0,0,1,354.533,0,0,281.778,-1.994,0,-0.314009,212.283,0.02,58.006,342.283
6,focal,1,163,2,87.903,109.666,21.763,31,7.499,0,3.507,3,78.666,0.13178567,0.161145063,56.903,-53.488,0.11670567,0.117925063,-77.97,0.137925063,6.512,52.03
1,focal,1,164,6,134.133,180.104,45.971,21.354,1.499,0,0,2,158.75,0.013291482,0,112.779,-28.778,0.00944252,-0.314009,43.284,0.02944252,31.222,173.284
