replicate,start_time,end_time,behaviour,focal,male_ID,partner,female_ID,treatment,avoidances,avoidance_success,aborts,notes
4,10:05:45 AM,,mount,0.7,D,6,X,distantly,y,y,NA,
4,10:19:07 AM,,mount,0.3,B,7,S,distantly,y,y,NA,
4,10:23:51 AM,,mount,:1,A,3:00,T,distantly,y,y,NA,
4,10:26:22 AM,,mount,0.3,B,3:00,T,distantly,y,y,NA,
4,10:26:57 AM,,mount,:1,A,9,U,distantly,y,y,NA,
4,10:31:12 AM,,mount,0.3,B,0,V,distantly,y,y,NA,
4,10:35:51 AM,,mount,:9,G,0,V,distantly,y,y,NA,
4,10:36:23 AM,,mount,0.3,B,9,U,distantly,y,y,NA,
4,10:00:57 AM,,mount,:1,A,0:00,R,recently,y,y,NA,
4,10:06:23 AM,,mount,0.4,I,0:00,R,recently,y,y,NA,
4,10:07:10 AM,,mount,0.4,I,1:00,O,recently,y,y,NA,
4,10:13:12 AM,,mount,0.4,I,1:00,O,recently,y,y,NA,
4,10:25:22 AM,,mount,:1,A,1:00,O,recently,y,y,NA,
4,10:26:48 AM,,mount,0.3,B,3,N,recently,y,y,NA,
4,10:32:24 AM,,mount,:1,A,0:00,R,recently,y,y,NA,
4,10:35:19 AM,,mount,0,K,1:00,O,recently,y,y,NA,
4,10:37:04 AM,,mount,0,K,1:00,O,recently,y,y,NA,
4,10:39:41 AM,,mount,0.3,B,1:00,O,recently,y,y,NA,
4,10:40:55 AM,,mount,0,K,1:00,O,recently,y,y,NA,
5,9:53:52 AM,,mount,:1,I,3,O,recently,y,y,NA,
5,10:02:15 AM,,mount,0.1,B,3,O,recently,y,y,NA,
5,10:03:37 AM,,mount,0,A,6,U,distantly,y,y,NA,
5,10:04:42 AM,,mount,0,A,5,V,distantly,y,y,NA,
5,10:08:00 AM,,mount,0.7,J,3,O,recently,y,y,NA,
5,10:08:05 AM,,mount,0.7,J,2,W,distantly,y,y,NA,
5,10:08:18 AM,,mount,0.9,H,2,W,distantly,y,y,NA,
5,10:13:01 AM,,mount,0.9,H,6,U,distantly,y,y,NA,
5,10:13:23 AM,,mount,:0,I,7:00,P,recently,y,y,NA,
5,10:13:42 AM,,mount,:0,I,3,O,recently,y,y,NA,
5,10:14:04 AM,,mount,:7,L,1,S,distantly,y,y,NA,
5,10:17:45 AM,,mount,0.2,C,8,N,recently,y,y,NA,
5,10:19:27 AM,,mount,0.6,K,1,S,distantly,y,y,NA,
5,10:22:11 AM,,mount,0.8,G,0,R,recently,y,y,NA,
5,10:47:00 AM,,mount,0.1,B,6,U,distantly,y,y,NA,
2,10:00:29 AM,,mating,,,,,,,,,exclude
3,10:37:54 AM,?,mating,0,A,0:00,S,distantly,n,NA,n,
3,10:55:21 AM,,mating,:7,F,0:00,S,distantly,n,NA,n,
3,10:30:00 AM,,mount,:6,E,1,U,distantly,y,y,NA,
3,10:25:25 AM,10:26:55 AM,mating,:7,F,1,U,distantly,n,NA,n,
3,10:17:41 AM,,mount,:7,F,9,V,distantly,n,NA,y,
3,10:24:00 AM,,mount,0,A,9,V,distantly,n,NA,y,
